ID,FC,p
TMEM44,0.171821927,1
LSG1,0.019528642,1
FAM43A,-0.448204811,1
XXYLT1,0.019915141,1
ACAP2,-0.010398462,1
PPP1R2,0.197240415,1
BDH1,-0.236777611,1
EIF4G1,-0.022366297,1
MELTF,0.261677558,1
LOC108348101,0.039977168,1
NCBP2,0.121413185,1
PAK2,0.091228915,1
LOC100912534,0.14104029,1
CHRD,-0.304752608,1
NRROS,-0.190687691,1
WDR53,-0.081072103,1
LOC100911374,0.035251053,1
TM4SF19,-0.331620973,1
TCTEX1D2,0.079032412,1
PCYT1A,0.043880073,1
VPS8,-0.026736936,1
TFRC,0.230166622,1
RGD1562339,0.012015988,1
TNK2,-0.010066009,1
EHHADH,0.232932019,1
SENP2,0.055697965,1
LRCH3,0.010485761,1
LMLN,0.019422689,1
OSBPL11,-0.056556228,1
TRA2B,0.095264921,1
ETV5,-0.351361429,1
SNX4,-0.052370569,1
ZFP148,-0.006825087,1
SLC12A8,0.054732242,1
HEG1,-0.069936325,1
ITGB5,0.015235237,1
DGKG,-0.388304166,1
UMPS,-0.044501331,1
DNAJB11,0.055599946,1
ITPR2,-0.026033598,1
SSPN,-0.05382607,1
INTS13,0.175727571,1
FGFR1OP2,0.076239384,1
DNM1L,0.080030881,1
EIF4A2,0.09360739,1
RFC4,0.138846823,1
TM7SF3,0.006453023,1
MED21,0.175590341,1
ST6GAL1,-0.30556068,1
AABR07034767.1,-0.092647429,1
MASP1,-0.020608126,1
STK38L,-0.019988404,1
UBE2V2,0.118246734,1
ARNTL2,0.548403201,1
MCM4,-0.357781184,1
MZT2B,0.025082603,1
SST,-0.252774472,1
MRPS35,-0.062913568,1
BCL6,0.215217635,1
KLHL42,0.214898169,1
TOP3B,-0.101571982,1
CCDC91,0.046600318,1
MAPK1,-0.086592521,1
FAR2,-0.038519314,1
ERGIC2,0.148847163,1
TMTC1,-0.124780424,1
YPEL1,-0.459109168,1
SDF2L1,0.154200028,1
CCDC116,-0.365954303,1
YDJC,-0.142504174,1
UBE2L3,-0.018181562,1
TMEM191C,-0.048656954,1
SNAP29,-0.076796039,1
LOC100911248,0.189216136,1
RAB44,-1.119140746,1
LZTR1,-0.095305783,1
LRRC74B,0.457344907,1
P2RX6,-0.120584599,1
SLC7A4,-0.15238875,1
SMPD4,0.118725707,1
CCDC74A,-0.088107976,1
MED15,-0.099398574,1
KLHL22,-0.091295826,1
DGCR6,-0.072076888,1
RANBP1,0.021064394,1
TRMT2A,0.005588967,1
DGCR8,0.009692397,1
ARVCF,-0.018146004,1
COMT,-0.012836816,1
TXNRD2,0.029602982,1
GNB1L,-0.221722846,1
TBX1,-0.281637571,1
KLHL6,-0.270452711,1
MAP6D1,-0.046320999,1
CHODL,0.189598109,1
TP63,0.179160809,1
CLDN1,0.08582955,1
IL1RAP,0.105788429,1
CCDC50,0.183663893,1
FGF12,0.060501543,1
BACE2,-0.317450662,1
DZIP3,0.129984596,1
IFT57,-0.042911255,1
MX1,0.564863561,1
SULT1D1,0.319603331,1
MX2,-0.237624156,1
CD47,0.086671947,1
BBX,0.108796148,1
RCAN1,-0.073516437,1
CBLB,0.001125875,1
ALCAM,0.050801002,1
UGT2B17,0.262446634,1
ATP5PO,-0.130267216,1
ATP6V1A,-0.005643745,1
YTHDC1,0.238669568,1
ITSN1,0.017460635,1
PRDM8,0.107874309,1
TMPRSS11F,-1.565930714,1
DONSON,0.091438826,1
SIDT1,-0.048941382,1
SON,0.008830118,1
EPHA5,0.227273815,1
DNAJC28,0.238304946,1
TMEM50B,-0.038088896,1
NAA11,-0.687188365,1
IFNGR2,-0.087067245,1
PAQR3,-0.088694419,1
