ID	FC
Mpzl3	0.34
Bmp7	0.34
AABR07008462.1	0.34
LOC498675	0.34
P2ry13	0.34
Colq	0.34
Pagr1	0.34
Tmed7	0.34
Lgr5	0.34
Pdzd9	0.34
Rtl4	0.34
Bcl2l11	0.34
AABR07029275.1	0.34
Zbtb7b	0.34
Nlrc4	0.34
Mir2861	0.34
LOC102552805	0.34
Hspa1a	0.34
Usp14	0.34
Arhgap9	0.34
Gabrd	0.34
Stac	0.34
AABR07028984.1	0.34
Rttn	0.34
Skida1	0.34
RF00594	0.34
AABR07041089.1	0.34
Mcm6	0.34
Ldlrap1	0.34
LOC102554034	0.34
RGD1563917	0.34
Thap2	0.34
LOC108348078	0.34
Armcx1	0.34
Spdl1	0.34
Efcc1	0.34
AABR07037058.1	0.34
Scn5a	0.34
Ctxn3	0.34
LOC685680	0.34
Fam161a	0.34
Ifih1	0.34
AABR07058658.1	0.34
Rasl11a	0.34
Sgms2	0.33
AABR07021596.4	0.33
Trim5	0.33
LOC499331	0.33
AABR07034464.1	0.33
Tfb2m	0.33
AABR07026112.1	0.33
Zfp51	0.33
Cdca7l	0.33
Hmgn5	0.33
Pus10	0.33
AABR07058934.1	0.33
Wdr93	0.33
RF00026	0.33
RF01233	0.33
RF00580	0.33
Efcab1	0.33
Dscc1	0.33
Rtl9	0.33
AABR07018533.1	0.33
Slc25a13	0.33
AABR07051310.1	0.33
Aadat	0.33
Cdr2	0.33
AABR07029417.1	0.33
Slc35f4	0.33
Rpl38	0.33
Ttc14	0.33
G2e3	0.33
AABR07058699.2	0.33
AABR07051787.1	0.33
Aamdc	0.33
Cby3	0.33
Rpl38	0.33
Odf3b	0.33
AABR07034833.1	0.33
Zim1	0.33
Orc4	0.33
Sox7	0.33
Gucd1	0.33
AABR07046727.1	0.33
Mt-nd3	0.33
AABR07001432.2	0.33
AABR07033045.1	0.33
Fam84b	0.33
Reg3b	0.33
Rps29	0.33
AABR07060769.1	0.33
Tent2	0.33
Alkbh8	0.32
Nlrp1a	0.32
Fhad1	0.32
Lancl3	0.32
AABR07002893.1	0.32
Gpr34	0.32
Hcrtr2	0.32
Tbxa2r	0.32
AABR07056131.1	0.32
Wdsub1	0.32
Cdc42ep3	0.32
Vax2	0.32
AABR07035782.1	0.32
AABR07026300.1	0.32
Zfp277	0.32
RGD1563941	0.32
Snrpe	0.32
Nat8f3	0.32
Crebrf	0.32
Sult1d1	0.32
Birc5	0.32
Crabp1	0.32
Ccdc82	0.32
Ppp1r32	0.32
Cideb	0.32
Dnai2	0.32
Dhrs7l1	0.32
Cip2a	0.32
Mir760	0.32
LOC688340	0.32
Hephl1	0.32
Rln1	0.32
Rad17	0.32
Mettl27	0.32
Pon3	0.32
AABR07047219.1	0.32
Myo5c	0.32
Kl	0.32
Frat2	0.32
AABR07002768.1	0.32
RGD1565033	0.32
AC097784.1	0.32
Tmem117	0.31
Rhobtb3	0.31
Glra1	0.31
AABR07029901.1	0.31
Tex30	0.31
Ttc34	0.31
AABR07002870.2	0.31
Zfp300	0.31
Nol11	0.31
Mroh7	0.31
Bmper	0.31
